custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,vehicle_classs,customer,customer_lifetime_value
RB50392,Washington,F,Master,588174.0,0,1000,0,Personal Auto,Four-Door Car,2,Four-Door Car,,
QZ44356,Arizona,F,Bachelor,697953.0,0,94,0,Personal Auto,Four-Door Car,1131,Four-Door Car,,
AI49188,Nevada,F,Bachelor,1288743.0,48767,108,0,Personal Auto,Two-Door Car,566,Two-Door Car,,
WW63253,California,M,Bachelor,764586.0,0,106,0,Corporate Auto,SUV,529,SUV,,
GA49547,Washington,M,High School or Below,536307.0,36357,68,0,Personal Auto,Four-Door Car,17,Four-Door Car,,
OC83172,Oregon,F,Bachelor,825629.0,62902,69,0,Personal Auto,Two-Door Car,159,Two-Door Car,,
XZ87318,Oregon,F,College,538089.0,55350,67,0,Corporate Auto,Four-Door Car,321,Four-Door Car,,
CF85061,Arizona,M,Master,721610.0,0,101,0,Corporate Auto,Four-Door Car,363,Four-Door Car,,
DY87989,Oregon,M,Bachelor,2412750.0,14072,71,0,Corporate Auto,Four-Door Car,511,Four-Door Car,,
BQ94931,Oregon,F,College,738817.0,28812,93,0,Special Auto,Four-Door Car,425,Four-Door Car,,
SX51350,California,M,College,473899.0,0,67,0,Personal Auto,Four-Door Car,482,Four-Door Car,,
VQ65197,California,F,College,819719.0,0,110,0,Personal Auto,SUV,528,SUV,,
DP39365,California,F,Master,879879.0,77026,110,2,Corporate Auto,Four-Door Car,472,Four-Door Car,,
SJ95423,Arizona,F,High School or Below,881901.0,99845,110,1,Corporate Auto,SUV,528,SUV,,
IL66569,California,F,College,538443.0,83689,70,2,Corporate Auto,Four-Door Car,307,Four-Door Car,,
BW63560,Oregon,F,Bachelor,746313.0,24599,64,1,Corporate Auto,Four-Door Car,42,Four-Door Car,,
FV94802,Nevada,F,High School or Below,256686.0,25049,67,0,Personal Auto,Two-Door Car,454,Two-Door Car,,
OE15005,California,F,College,394524.0,28855,101,0,Personal Auto,SUV,647,SUV,,
WC83389,Oregon,F,College,571033.0,51148,72,0,Personal Auto,Four-Door Car,308,Four-Door Car,,
FL50705,California,F,High School or Below,816261.0,66140,101,0,Corporate Auto,Four-Door Car,484,Four-Door Car,,
ZK25313,Oregon,F,High School or Below,287205.0,57749,74,0,Personal Auto,Two-Door Car,355,Two-Door Car,,
QK46697,Washington,M,Bachelor,617710.0,61040,79,1,Personal Auto,Two-Door Car,20,Two-Door Car,,
YH23384,Arizona,F,Bachelor,2412750.0,14072,71,0,Personal Auto,Four-Door Car,511,Four-Door Car,,
TZ98966,Nevada,F,Bachelor,245019.0,0,73,3,Corporate Auto,Four-Door Car,554,Four-Door Car,,
HM55802,California,F,Bachelor,239210.0,17870,61,0,Corporate Auto,Four-Door Car,439,Four-Door Car,,
FS42516,Oregon,F,College,580206.0,97541,72,0,Personal Auto,Four-Door Car,389,Four-Door Car,,
US89481,California,F,Bachelor,394637.0,0,111,0,Personal Auto,Four-Door Car,799,Four-Door Car,,
HS14476,Washington,M,College,916206.0,29723,80,0,Personal Auto,Four-Door Car,20,Four-Door Car,,
GE62437,Arizona,F,College,1290256.0,86584,111,2,Personal Auto,Four-Door Car,532,Four-Door Car,,
EJ77678,Oregon,F,Master,323536.0,75690,80,1,Personal Auto,Four-Door Car,384,Four-Door Car,,
SV85652,Arizona,F,College,245458.0,23158,63,1,Personal Auto,Four-Door Car,322,Four-Door Car,,
UL64533,Nevada,F,High School or Below,1897545.0,65999,237,0,Corporate Auto,Luxury SUV,615,Luxury,,
PF41800,California,F,Bachelor,471532.0,0,65,0,Personal Auto,Four-Door Car,308,Four-Door Car,,
HD95276,Washington,F,College,473787.0,0,130,0,Personal Auto,SUV,23,SUV,,
SK67821,Oregon,F,Bachelor,493291.0,37260,62,0,Corporate Auto,Four-Door Car,15,Four-Door Car,,
YV55495,Arizona,F,High School or Below,574422.0,68987,71,0,Personal Auto,Four-Door Car,204,Four-Door Car,,
